id,Z_1,food_exp,cal_int
884,1,150.0334522,610.9956955
885,0,106.4324298,600.0041981
886,1,152.0710411,605.5456265
887,1,150.4468144,605.0306317
888,0,146.9191995,600.1701007
889,1,150.1095561,607.9937724
890,0,100.7723122,600.1098739
891,0,104.3523338,615.1715621
892,1,150.0924171,606.1301066
893,1,161.3944817,605.0189394
894,0,100.7779154,608.4943929
895,1,164.9412564,605.2214664
896,1,150.9500383,605.074841
897,0,100.1984472,619.2673506
898,1,150.0523851,607.2134561
899,0,100.0487649,603.4374113
900,1,150.7204166,607.2049513
901,1,150.012109,605.1747902
902,0,100.0323529,601.0460695
903,1,225.0341582,605.6387358
904,1,150.6755014,605.1968685
905,1,169.8214658,605.014562
906,1,187.6292812,608.3071062
907,0,101.3006525,600.1886533
908,0,101.0079972,626.9828796
909,1,151.5406056,616.7183774
910,0,104.4612407,600.4740997
911,0,105.826839,602.2532382
912,1,150.0118736,615.2018799
913,1,151.1099014,605.4909782
914,1,153.8528477,2517.542941
915,1,150.6879489,609.1026664
916,1,151.6432417,605.7918251
917,1,157.122716,606.1479041
918,1,150.7227089,605.9078888
919,1,179.423718,631.3778425
920,1,152.7067877,627.3833202
921,0,100.0298812,601.4040558
922,0,100.6624808,600.6722437
923,0,103.4861425,604.364263
924,0,101.4303141,600.2253065
925,0,100.0488812,601.1521464
926,0,100.0158483,600.6278259
927,0,100.8609633,600.0289594
928,1,154.5361347,605.244564
929,0,100.2106407,600.0625351
930,1,152.2953607,615.4952058
931,1,153.5882586,605.0533287
932,0,108.5350175,600.7406548
933,1,153.6414994,605.0882049
934,0,101.7153434,601.2674443
935,0,100.0318981,600.3062757
936,0,100.3269716,957.7121407
937,1,156.6075536,605.436015
938,1,152.7023095,611.524102
939,0,100.1387073,602.6206453
940,1,152.0174302,610.4605557
941,0,100.8132458,612.9217305
942,1,166.1428676,605.2969241
943,1,150.9279099,605.0587951
944,0,100.4257207,605.2543096
945,0,100.563831,600.098736
946,0,100.1450965,630.3612153
947,1,167.185279,605.06497
948,0,101.4382301,600.0016437
949,1,150.2652571,605.0709941
950,1,152.4035062,605.2742812
951,0,106.6173479,715.368499
952,1,150.3952616,612.8456935
953,0,100.5106476,651.0512723
954,1,150.8779079,605.0374469
955,0,100.0122269,616.2272648
956,0,101.4077042,600.2187182
957,1,151.0981609,613.7344731
958,1,150.5618692,605.0077611
959,0,100.1057555,611.7096671
960,0,110.4206105,600.4697922
961,1,150.3654229,605.6276143
962,0,101.3467154,627.4202826
963,0,204.3898774,602.4821387
964,1,150.271978,606.2863933
965,0,100.2296444,607.8347101
966,1,151.4028884,605.1083602
967,1,150.5337319,605.0358377
968,1,150.3382628,620.0145388
969,1,152.4632888,640.1120559
970,0,101.6562967,603.4872123
971,0,100.0940267,600.9806042
972,0,100.0479473,634.7961812
973,0,103.7288994,601.4510078
974,0,100.1577362,602.6474992
975,1,150.1222197,606.3436313
976,1,165.1754616,611.5608835
977,1,151.1819494,605.0534057
978,1,150.3051169,605.314181
979,1,155.4837209,605.605996
980,1,167.6275171,605.017427
981,1,158.7341615,611.8916656
982,0,100.1079824,601.7164094
983,1,150.2636155,605.169644
984,0,102.0073136,602.4049089
985,0,100.0496717,601.539675
986,1,150.4315699,605.1717995
987,1,150.9690452,606.1718942
988,1,150.8659571,605.1502295
989,1,151.6348504,608.8178118
990,1,151.496308,605.0309319
991,0,107.0954571,601.4984076
992,1,150.8898004,613.2718865
993,0,100.1611068,601.6663456
994,1,150.7662368,605.1426404
995,0,100.6304965,600.0664296
996,1,151.0910025,605.017307
997,1,176.0021294,608.128784
998,0,103.4786773,601.5843642
999,1,201.2685134,606.1559712
1000,1,161.5988421,610.6422859
